Date,BABA,TSM,NVS,JD,SAP,ASML,ACN,UN,AZN,BHP,LIN,SHOP,GSK,RIO,RY,TD,BP,NTES,ENB,TAK,SPOT,MELI,TAL,AON,UBS,INFY,BIDU,VOD,LULU,ETN,NXPI,INFO,ZTO,TEL,CS,JCI,MRVL,EDU,TT,LBTYA,STX,QGEN,LBTYK,CRSP,ALV,SU
2019-03-13,180.7,39.21,82.11,28.13,108.86,182.53,164.11,55.37,42.45,52.81,174.39,205.51,40.35,56.03,77.34,56.57,43.83,48.17,36.97,20.9,143.49,507.93,34.19,167.09,12.25,10.55,168.17,18.42,145.41,80.59,93.4,54.39,19.29,83.42,11.98,36.27,19.69,77.25,82.55,25.5,47.68,39.74,24.95,39.43,77.73,33.62
2019-03-14,180.36,38.82,82.46,27.89,109.52,183.29,164.82,56.2,42.27,52.2,174.21,208.23,40.43,56.0,77.11,56.29,43.95,47.71,37.05,20.83,140.24,493.79,32.99,168.58,12.28,10.6,167.74,18.59,144.18,80.99,92.85,54.13,19.12,83.29,12.03,36.01,19.41,76.07,82.2,25.62,47.19,39.79,25.06,38.55,76.68,33.63
2019-03-15,180.97,39.65,83.59,27.93,112.49,192.81,166.39,57.36,42.51,52.12,176.43,205.98,40.63,55.98,77.64,56.59,43.87,48.47,36.52,21.22,141.91,488.73,34.03,170.0,12.23,10.7,170.48,19.04,141.79,80.58,93.38,54.52,19.06,83.7,12.06,35.83,20.14,77.09,82.31,26.03,47.68,39.84,25.37,38.64,78.67,33.76
2019-03-18,181.83,39.85,83.49,28.14,112.14,190.64,166.43,57.36,42.58,53.02,174.55,205.77,40.49,56.99,78.02,57.11,44.24,48.7,36.87,21.27,139.18,484.97,34.5,169.2,12.51,10.72,171.17,19.09,144.33,82.1,92.27,55.29,18.88,83.34,12.35,36.42,19.95,79.09,83.05,26.11,48.16,39.69,25.44,37.88,78.58,34.3
2019-03-19,182.14,39.76,83.32,28.31,113.44,190.81,166.2,57.22,42.87,52.84,173.58,202.09,40.45,56.52,77.91,57.02,44.47,48.86,37.05,21.26,141.55,482.36,35.51,167.96,12.57,10.9,170.73,19.23,144.99,82.22,92.82,55.25,18.64,83.47,12.36,36.37,20.23,80.6,82.65,26.17,47.26,39.93,25.48,37.24,78.74,34.35
2019-03-20,181.28,39.85,83.76,28.08,114.53,191.14,166.27,57.59,43.02,53.39,176.63,201.34,40.81,56.65,77.43,56.78,44.53,47.4,37.03,21.43,143.9,497.95,36.21,165.71,12.32,10.94,170.17,19.27,144.35,81.23,91.03,54.82,18.33,82.64,12.01,36.38,20.01,81.33,81.39,26.16,46.21,40.01,25.48,37.1,76.84,34.73
2019-03-21,181.5,41.04,83.92,28.76,114.43,194.36,168.24,58.31,42.95,53.69,175.1,205.0,41.24,56.83,76.65,56.03,44.53,48.0,36.78,21.52,143.99,504.48,35.66,168.2,12.24,11.06,171.77,19.11,148.91,82.01,94.29,55.46,18.26,83.87,11.91,36.96,20.79,81.37,82.49,26.46,48.98,40.33,25.77,37.86,77.32,34.57
2019-03-22,176.26,40.43,83.71,28.0,111.72,187.75,165.24,57.46,42.59,52.25,169.86,198.75,41.25,56.14,76.03,55.11,43.95,46.47,36.61,20.94,139.0,497.37,34.82,166.31,11.88,10.88,166.73,18.94,143.21,79.02,90.66,54.54,17.69,81.69,11.51,36.13,19.71,79.51,80.86,26.03,46.93,39.42,25.36,35.59,73.93,33.65
2019-03-25,178.77,39.92,83.61,28.39,111.6,186.33,165.08,57.81,42.55,52.71,170.0,201.45,41.21,56.95,76.11,55.11,43.53,46.75,36.5,20.76,142.1,491.3,35.82,166.64,11.85,10.82,166.88,18.59,146.58,78.96,88.93,54.34,17.84,81.08,11.39,36.16,19.73,82.78,81.23,25.77,46.83,39.77,25.1,34.19,74.19,32.98
2019-03-26,178.08,40.4,85.14,28.81,113.93,187.29,166.94,58.46,42.94,53.5,170.98,204.37,41.6,57.79,76.73,55.06,43.82,47.08,36.59,21.16,137.45,493.9,35.99,167.76,11.92,10.82,167.2,18.88,143.56,79.52,89.29,53.27,17.9,82.27,11.45,36.56,19.69,84.09,82.04,25.48,47.21,40.41,24.75,34.83,74.19,33.28
